time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.89160099109e-07,1.57466030854e-07,10.000957221,0.000180832426436,0.000454704560523,0.0,-4.01326213529e-05,1.41069061466e-05,0.0319066565102,0.00844733010701,0.0195504475972,0.0,413.48038747220477,415.19877907529565,414.7564409285126,415.497492386302
0.12000000000000001,-1.80304356528e-05,7.94269317375e-06,10.0077191307,0.00123922297477,0.00164101054884,0.0,-0.000675671612949,0.00033732254528,0.193475842068,0.0315689973211,0.0202107350095,0.0,456.60747961151225,456.6600983269827,454.48411093997,456.33315040517374
0.18,-9.48501096306e-05,5.90818640861e-05,10.021157543,0.00293981623467,0.00270560790563,0.0,-0.00199503814387,0.00154116554303,0.254458551851,0.0209537823316,0.0122853187307,0.0,424.7665925069639,424.086454429309,424.80906101536164,423.89826001168973
0.23999999999999996,-0.000272624373437,0.000216259264454,10.0391342389,0.00430000058569,0.00363545335306,0.0,-0.00401520320358,0.00382982807841,0.344740395963,0.0258976092908,0.0212514352683,0.0,433.1314943650653,433.88468323306324,434.06477912443694,434.4794450289123
0.3,-0.000603510658762,0.000552576352053,10.0653823768,0.00584512666279,0.00498210358245,0.0,-0.00716449126418,0.00755808068706,0.530127855653,0.0254595254584,0.0247286404969,0.0,463.5009097966246,463.7740657097959,463.094885856105,463.0605272734271
0.36000000000000004,-0.00116706273859,0.00116222324674,10.1049784495,0.00689578077312,0.00634493412584,0.0,-0.0117990499878,0.0129358099404,0.789596081138,-0.00736370145776,0.0183451055147,0.0,485.61042550789676,485.13140584745815,486.2673615089929,483.8026190620017
0.4200000000000001,-0.0020170043431,0.00208596313173,10.1563682444,0.00631823246934,0.0070202950652,0.0,-0.016633522169,0.0178007584748,0.923297855321,-0.0145845439894,-0.00928357733642,0.0,449.87345763717803,447.6309809429947,447.79622272291897,447.20864361697153
0.48000000000000015,-0.00314314323617,0.00326743730603,10.2124877847,0.00574180993417,0.00725344265305,0.0,-0.0208970469779,0.0215170654131,0.947334116693,-0.00115500024912,0.0220459101081,0.0,412.08750218741625,414.8473066010587,411.90786233449256,413.09374160987596
0.5400000000000001,-0.00458057482831,0.00469670631482,10.2758203974,0.00542050696219,0.00989228402862,0.0,-0.02727414252,0.0261028377925,1.16355600043,-0.0154611041797,0.0692635081245,0.0,471.8168931731069,475.44866684405054,473.4504320417881,472.3486781152891
0.6000000000000002,-0.00646036471165,0.00638271429773,10.3507930902,0.00458622286424,0.013632829968,0.0,-0.0358349063146,0.0299973661799,1.33534408072,-0.0109608546262,0.0425705590486,0.0,461.79400984263225,459.6863600116019,460.0408633512641,460.3971410498525
0.6600000000000003,-0.00891119822422,0.00827754826853,10.434551719,0.00360503261933,0.0164697081218,0.0,-0.0461422950722,0.0330801733843,1.45645952087,-0.0302317215306,0.0553409890373,0.0,444.2239438020574,445.27111685185275,446.72613524262493,445.15218490824395
0.7200000000000003,-0.0120336814782,0.0103304593561,10.5250006084,0.00214531013782,0.0195410676836,0.0,-0.0582668105271,0.035184368502,1.55836429282,-0.0145685187681,0.0412300664831,0.0,440.5576750068222,439.3911671500573,438.6571738014829,439.95570267670104
0.7800000000000004,-0.0158789320332,0.0124762489835,10.6182882853,0.00147599309281,0.0223372427424,0.0,-0.0701369664057,0.0362760990845,1.55122973291,-0.00507929018262,0.0556199427064,0.0,403.9481970523653,405.2451462906296,402.9900002579406,403.8468691024289
0.8400000000000004,-0.0205439424214,0.0146810171278,10.7136014036,0.00117653692209,0.0254659334901,0.0,-0.0856797717339,0.0371863220737,1.62576286178,-0.00481480304199,0.0440895974854,0.0,432.1585328916541,431.1874496266555,430.71483298853104,430.7372874249985
0.9000000000000005,-0.0262152437264,0.0169350199858,10.8139234226,0.000757742191604,0.027819986916,0.0,-0.103614865893,0.037911638785,1.71816239348,-0.0117059964936,0.0271291879725,0.0,438.29535121032825,436.8843773016346,437.03419004249105,436.4595819932887
0.9600000000000005,-0.0331591637632,0.0192258340032,10.925199917,6.28289830924,0.029141261594,0.0,-0.128028703983,0.0383417047931,1.99061406972,-0.0323889813981,0.00909665291531,0.0,492.6864289686081,491.35146474714674,491.6055857463398,490.07081448176586
1.0200000000000005,-0.0414548362433,0.0215127116947,11.0479628248,6.28056430545,0.0295877897727,0.0,-0.14854002868,0.0376713332984,2.10128312229,-0.0569412816641,0.00390872158319,0.0,444.492897515552,444.06744912316066,445.15206694279243,443.13760107213176
1.0800000000000005,-0.0510061410403,0.0237039113018,11.1779294258,6.27790981974,0.0295807085581,0.0,-0.169843923847,0.0350547661031,2.23069074162,-0.0265468158973,-0.00972002186741,0.0,451.2360481386669,450.13456568323863,449.0344354959123,451.4919089220015
1.1400000000000006,-0.0618578927853,0.0256823189139,11.3165106257,6.27595523131,0.0292792239837,0.0,-0.191825191672,0.0307024267534,2.38836571481,-0.0487355470907,0.0030147535196,0.0,459.7343429561117,460.74231012492567,459.934990146364,458.17388290628196
1.2000000000000006,-0.0739851375055,0.0273610636949,11.46319763,6.27325380386,0.0295453567105,0.0,-0.212433445767,0.0249663802643,2.50095717438,-0.0384790376694,0.00713575479477,0.0,445.45273093204395,445.78950735241904,446.87826371894124,447.7123212268452
1.2600000000000007,-0.0873074961107,0.0286581541847,11.6150182962,6.27131818971,0.0295951234451,0.0,-0.231669598263,0.0180700487922,2.55959778083,-0.0220689497297,-0.0164002228299,0.0,429.7142671226738,427.71451568877495,430.2435340951544,431.6301600390708
